分類,名前,名前_仮名,格言,格言_仮名
架空,比企谷八幡（やはり俺の青春ラブコメはまちがっている。）,ひきがちはちまん（やはりおれのせいしゅんラブコメはまちがっている。）,逃げるのは恥だが役に立つ、なんてのは誰が言ったんだったか。,にげるのははじだがやくにたつ、なんてのはだれがいったんだったか。
架空,ロイド・フォージャー（SPY×FAMILY）,ロイド・フォージャー（SPY×FAMILY）,子供が泣かない世界。それを作りたくて俺はスパイになったんだ。,こどもがなかないせかい。それをつくりたくておれはスパイになったんだ。
架空,アキ（チェンソーマン）,アキ（チェンソーマン）,後悔はしていない。,こうかいはしていない。
架空,シュタルク（葬送のフリーレン）,シュタルク（そうそうのフリーレン）,俺はまだ、何もやり遂げていない。だから立ち上がるんだ。,おれはまだ、なにもやりとげていない。だからたちあがるんだ。
架空,ヒンメル（葬送のフリーレン）,ヒンメル（そうそうのフリーレン）,僕たちは世界を救うんだ。,ぼくたちはせかいをすくうんだ。
架空,マッシュ・バーンデッド（マッシュル）,マッシュ・バーンデッド（マッシュル）,筋肉は裏切らない。,きんにくはうらぎらない。
架空,アスタ（ブラッククローバー）,アスタ（ブラッククローバー）,諦めないのが、俺の魔法だ！,あきらめないのが、おれのまほうだ！
架空,ユノ（ブラッククローバー）,ユノ（ブラッククローバー）,俺は魔法帝になる。,おれはまほうていになる。
架空,ヤミ・スケヒロ（ブラッククローバー）,ヤミ・スケヒロ（ブラッククローバー）,ここで限界を超えろ。,ここでげんかいをこえろ。
架空,ガッツ（ベルセルク）,ガッツ（ベルセルク）,逃げ出した先に楽園なんてありゃしねえのさ。,にげだしたさきにらくえんなんてありゃしねえのさ。
架空,トールズ（ヴィンランド・サガ）,トールズ（ヴィンランド・サガ）,お前に敵などいない。誰にも敵などいないんだ。,おまえにてきなどいない。だれにもてきなどいないんだ。
架空,宮本武蔵（バガボンド）,みやもとむさし（バガボンド）,強いというのは、弱さを知ることだ。,つよいというのは、よわさをしることだ。
架空,仙道彰（SLAM DUNK）,せんどうあきら（SLAM DUNK）,まだあわてるような時間じゃない。,まだあわてるようなじかんじゃない。
架空,藤真健司（SLAM DUNK）,ふじまけんじ（SLAM DUNK）,俺たちは勝つ！,おれたちはかつ！
架空,本田吾郎（MAJOR）,ほんだごろう（MAJOR）,夢は逃げない。逃げるのはいつも自分だ。,ゆめはにげない。にげるのはいつもじぶんだ。
架空,茂野吾郎（MAJOR）,しげのごろう（MAJOR）,他人にやらされてた練習を努力とは言わねえだろ。,たにんにやらされてたれんしゅうをどりょくとはいわねえだろ。
架空,越前リョーマ（テニスの王子様）,えちぜんリョーマ（テニスのおうじさま）,まだまだだね。,まだまだだね。
架空,手塚国光（テニスの王子様）,てづかくにみつ（テニスのおうじさま）,油断せずに行こう。,ゆだんせずにいこう。
架空,黒子テツヤ（黒子のバスケ）,くろこテツヤ（くろこのバスケ）,僕は影だ。でも影は光が強いほど濃くなり、光の白さを際立たせる。,ぼくはかげだ。でもかげはひかりがつよいほどこくなり、ひかりのしろさをきわだたせる。
架空,火神大我（黒子のバスケ）,かがみたいが（くろこのバスケ）,限界なんて、ブチ壊してやる！,げんかいなんて、ブチこわしてやる！
架空,緑間真太郎（黒子のバスケ）,みどりましんたろう（くろこのバスケ）,人事を尽くして天命を待つ。,じんじをつくしててんめいをまつ。
架空,小野田坂道（弱虫ペダル）,おのださかみち（よわむしペダル）,僕は…みんなの思いを積んで走ってるんだ！,ぼくは…みんなのおもいをつんではしってるんだ！
架空,巻島裕介（弱虫ペダル）,まきしまゆうすけ（よわむしペダル）,突破するっきゃないっしょ！,とっぱするっきゃないっしょ！
架空,荒北靖友（弱虫ペダル）,あらきたやすとも（よわむしペダル）,前だけ見てりゃあいいんだヨ！,まえだけみてりゃあいいんだヨ！
