分類,発言者,格言
{架空:かくう},ガッツ（ベルセルク）,{逃:に}げ{出:だ}した{先:さき}に{楽園:らくえん}なんてありゃしねえのさ。
{架空:かくう},トールズ（ヴィンランド・サガ）,お{前:まえ}に{敵:てき}などいない。{誰:だれ}にも{敵:てき}などいないんだ。
{架空:かくう},{宮本武蔵:みやもとむさし}（バガボンド）,{強:つよ}いというのは、{弱:よわ}さを{知:し}ることだ。
{架空:かくう},{仙道彰:せんどうあきら}（SLAM DUNK）,まだあわてるような{時間:じかん}じゃない。
{架空:かくう},{藤真健司:ふじまけんじ}（SLAM DUNK）,{俺:おれ}たちは{勝:か}つ！
{架空:かくう},{本田吾郎:ほんだごろう}（MAJOR）,{夢:ゆめ}は{逃:に}げない。{逃:に}げるのはいつも{自分:じぶん}だ。
{架空:かくう},{茂野吾郎:しげのごろう}（MAJOR）,{他人:たにん}にやらされてた{練習:れんしゅう}を{努力:どりょく}とは{言:い}わねえだろ。
{架空:かくう},{越前:えちぜん}リョーマ（テニスの{王子様:おうじさま}）,まだまだだね。
{架空:かくう},{手塚国光:てづかくにみつ}（テニスの{王子様:おうじさま}）,{油断:ゆだん}せずに{行:い}こう。
{架空:かくう},{黒子:くろこ}テツヤ（{黒子:くろこ}のバスケ）,{僕:ぼく}は{影:かげ}だ。でも{影:かげ}は{光:ひかり}が{強:つよ}いほど{濃:こ}くなり、{光:ひかり}の{白:しろ}さを{際立:きわだ}たせる。
{架空:かくう},{火神大我:かがみたいが}（{黒子:くろこ}のバスケ）,{限界:げんかい}なんて、ブチ{壊:こわ}してやる！
{架空:かくう},{緑間真太郎:みどりましんたろう}（{黒子:くろこ}のバスケ）,{人事:じんじ}を{尽:つ}くして{天命:てんめい}を{待:ま}つ。
{架空:かくう},{小野田坂道:おのださかみち}（{弱虫:よわむし}ペダル）,{僕:ぼく}は…みんなの{思:おも}いを{積:つ}んで{走:はし}ってるんだ！
{架空:かくう},{巻島裕介:まきしまゆうすけ}（{弱虫:よわむし}ペダル）,{突破:とっぱ}するっきゃないっしょ！
{架空:かくう},{荒北靖友:あらきたやすとも}（{弱虫:よわむし}ペダル）,{前:まえ}だけ{見:み}てりゃあいいんだヨ！
